0088567,REKSA DANA PRINCIPAL STRATEGIC IDR FIXED INCOME FUND,Principal Asset Management,fixed_income_fund
0088997,Mandiri Investa Ekuitas Syariah,"Mandiri Manajemen Investasi, PT",equity_fund
0091033,Panin Dana Maksima,"Panin Asset Management, PT",equity_fund
0091447,REKSA DANA PNM SYARIAH,"PNM Investment Management, PT",mixed_asset_fund
0092841,Reksa Dana Prima,"Equity Sekuritas Indonesia, PT",mixed_asset_fund
0098244,PNM AMANAH SYARIAH,"PNM Investment Management, PT",fixed_income_fund
0099507,REKSADANA PNM DANA SEJAHTERA II,"PNM Investment Management, PT",fixed_income_fund
00D2AK,REKSA DANA TRIMEGAH BHAKTI BANGSA,"Trimegah Asset Management, PT",equity_fund
00D42B,Reksa Dana Bahana Berimbang Asabri Sejahtera,"Bahana TCW Investment Management, PT",mixed_asset_fund
00D42S,REKSA DANA BAHANA INVESTASI PRIMA,"Bahana TCW Investment Management, PT",fixed_income_fund
00D51F,REKSA DANA PROSPERA VALUE FUND,"Prospera Asset Management, PT",mixed_asset_fund
00D51G,REKSA DANA PROSPERA DANA LANCAR,"Prospera Asset Management, PT",money_market_fund
00D51I,REKSA DANA SYARIAH PROSPERA SYARIAH SAHAM,"Prospera Asset Management, PT",equity_fund
00D51K,REKSA DANA Prospera Saham SMC,"Prospera Asset Management, PT",equity_fund
00D54N,REKSA DANA LAUTANDHANA EQUITY PROGRESIF,"Lautandhana Investment Management, PT",equity_fund
00D54U,REKSA DANA LAUTANDHANA SAHAM SYARIAH,"Lautandhana Investment Management, PT",equity_fund
00D54Z,REKSA DANA LAUTANDHANA SAHAM LESTARI,"Lautandhana Investment Management, PT",equity_fund
00D74G,REKSA DANA CIPTA PRIMA,"Ciptadana Asset Management, PT",equity_fund
00D74I,REKSA DANA CIPTA DANA CASH,"Ciptadana Asset Management, PT",money_market_fund
00D74N,Reksa Dana Cipta Obligasi Optimal,"Ciptadana Asset Management, PT",fixed_income_fund
00D74P,Reksa Dana Cipta Obligasi Rupiah,"Ciptadana Asset Management, PT",fixed_income_fund
00D74Q,Reksa Dana Terproteksi Cipta Proteksi Dinamis III,"Ciptadana Asset Management, PT",capital_protected_fund
00D74S,REKSA DANA CIPTA DANA LIKUID,"Ciptadana Asset Management, PT",money_market_fund
00D74T,Reksa Dana Cipta Obligasi Gemilang,"Ciptadana Asset Management, PT",fixed_income_fund
00D74U,Reksa Dana Cipta Dana Lancar,"Ciptadana Asset Management, PT",money_market_fund
00D74X,Reksa Dana Cipta Utama Ekuitas,"Ciptadana Asset Management, PT",equity_fund
00D76A,REKSA DANA PACIFIC FIXED FUND,"Pacific Capital Investment, PT",fixed_income_fund
00D79C,REKSA DANA SYAILENDRA EQUITY PLATINUM FUND,"Syailendra Capital, PT",equity_fund
00D8AN,Reksa Dana Simas Saham Prestasi,"Sinarmas Asset Management, PT",equity_fund
00D8BD,Reksa Dana Terproteksi Simas Cemerlang 2,"Sinarmas Asset Management, PT",capital_protected_fund
00D91A,Reksa Dana Indeks Kresna IDX30 Tracker,"Kresna Asset Management, PT",index_fund
00D91B,Reksa Dana Indeks Kresna Idx 30,"Kresna Asset Management, PT",index_fund
035600055431,Reksa Dana Mandiri Investa Atraktif,"Mandiri Manajemen Investasi, PT",equity_fund
035600220432,Reksa Dana Batavia USD Balanced Asia,"Batavia Prosperindo Aset Manajemen, PT",mixed_asset_fund
